Word	Meaning	Top5
автомобиль	автомобиль.1	джип, грузовик, фургон, автобус, лимузин
автор	автор.1	издатель, писатель, переводчик, поэт, художник
автор	автор.2	сборник, сборники, серия, цикл, подборка
автор	автор.3	создатель, создателя, основатель, владелец, инициатор
автор	автор.4	составитель, автора, автором, автору, авторы
автор	автор.5	герой, героиня, персонаж, экранизация, герои
автор	автор.6	написание, писание, опубликование, черновик, чтение
автор	автор.7	Геродот, рецензент, Плутарх, евангелист, Полибий
автор	автор.8	сочинитель, начитавшись, сочинители, начитавшийся, сочинителя
акцент	акцент.1	выговор, диалект, говор, манер, писатель
акцент	акцент.2	упор, ударение, ставку, акценты, скидку
акцент	акцент.3	нажим, загар, намек, надрез, отпечаток
акция	акция.1	операция, кампания, диверсия, провокация, вылазка
аллергия	аллергия.1	антипатия, идиосинкразия, тяга, склонность, неприязнь
аллергия	аллергия.2	астма, депрессия, мигрень, экзема, изжога
аллергия	аллергия.3	гангрена, пародия, мода, истерика, конкуренция
алмаз	алмаз.1	бриллиант, рубин, изумруд, сапфир, камень
амулет	амулет.1	костюм, респиратор, кольцо, комбез, скафандр
амулет	амулет.2	медальон, талисман, артефакт, кулон, браслет
анализ	анализ.1	переливание, заражение, переливания, лужа, пролитие
анализ	анализ.2	анализы, разбор, осмотр, тест, характер
англичанин	англичанин.1	американец, джентльмен, шотландец, ирландец, француз
антибиотик	антибиотик.1	антибиотики, обезболивающее, снотворное, антидот, пенициллин
антибиотик	антибиотик.2	белок, крахмал, холестерин, пигмент, каучук
антибиотик	антибиотик.3	препарат, стимулятор, краситель, растворитель, антидепрессант
антилопа	антилопа.1	птица, лань, кошка, куропатка, птичка
аппарат	аппарат.1	орган, центр, деятель, архив, инструментарий
аппарат	аппарат.2	прибор, компьютер, агрегат, механизм, терминал
аппаратура	аппаратура.1	техника, электроника, радиостанция, система, лаборатория
аппетит	аппетит.1	иммунитет, нюх, голод, самоконтроль, работоспособность
аппетит	аппетит.2	костер, огонь, камин, примус, очаг
армия	армия.1	эскадра, пехота, дивизия, кавалерия, дипломатия
артиллерия	артиллерия.1	пехота, авиация, батарея, армия, пушка
артист	артист.1	актер, художник, писатель, поэт, режиссер
артист	артист.2	артистка, артисткой, актриса, Артист, прима
астма	астма.1	подагра, мигрень, аллергия, бессонница, депрессия
бабка	бабка.1	бабушка, матушка, мама, мать, сестра
бабка	бабка.2	тетка, старуха, старушка, баба, соседка
бабка	бабка.3	Маша, Юлька, Ирка, Лола, Верка
бабушка	бабушка.1	мама, мать, сестра, матушка, бабка
бабушка	бабушка.2	Наташа, она, Настя, Надя, Маша
бактерия	бактерия.1	инфекция, пылинка, вещь, штука, субстанция
баня	баня.1	культура, армия, пословица, литература, мафия
баня	баня.2	банька, сауна, кухня, печка, конюшня
баран	баран.1	козел, осел, болван, бык, идиот
баран	баран.2	обвал, кряж, хребет, перевал, хрусталь
бедность	бедность.1	нищета, нищету, несправедливость, нужда, скука
бедро	бедро.1	плечо, колено, запястье, предплечье, голень
бедро	бедро.2	плечико, крыло, тело, ухо, ребро
белье	белье.1	пеленки, простыни, портянки, носки, подгузники
белье	белье.2	халатике, халате, исподнем, пеньюаре, фартуке
белье	белье.3	Поволжье, ярусе, регистре, течении, ящике
белье	белье.4	бельишко, исподнее, платье, полотенце, покрывало
библиотека	библиотека.1	кухня, больница, лаборатория, школа, коллекция
бизнес	бизнес.1	капитал, проект, рынок, бизнесмен, предприниматель
бизнес	бизнес.2	ИТ, научно, военно, социально, интернет
биография	биография.1	карьера, автобиография, обстановка, история, личность
блюдо	блюдо.1	кушанье, лакомство, изделие, развлечение, украшение
блюдо	блюдо.2	рагу, жаркое, печенье, суфле, пирожное
блюдо	блюдо.3	блюдце, блюдечко, ведерко, кольцо, ожерелье
блюдо	блюдо.4	тарелку, поднос, миску, вазу, кувшин
бог	бог.1	угадаю, досказать, закурить, порулить, догадаюсь
бог	бог.2	черт, чорт, леший, дьявол, ситх
бог	бог.3	сподобил, наказывает, уберег, карает, покарал
бог	бог.4	благую, Благую, радостную, недобрую, дурную
бог	бог.5	пантеон, культ, храм, божок, миф
бог	бог.6	Бог, аллах, боже, господь, Аллах
бог	бог.7	бога, богу, богиней, богине, богини
бог	бог.8	повелитель, владыка, мудрец, властитель, правитель
бог	бог.9	богиня, символ, божество, олицетворение, богиню
бог	бог.10	радостная, благая, Благая, недобрая, горестная
богатство	богатство.1	сокровище, счастье, могущество, достояние, предназначение
бой	бой.1	поединок, спор, разговор, матч, диалог
бой	бой.2	сражение, битву, борьбу, войну, схватку
болезнь	болезнь.1	слабость, усталость, лихорадку, травму, депрессию
болезнь	болезнь.2	хворь, патология, травма, инфекция, лихорадка
борьба	борьба.1	схватка, битва, грызня, война, вражда
ботаник	ботаник.1	ученый, физик, математик, физиолог, историк
брат	брат.1	отец, сын, муж, братец, племянник
бренди	бренди.1	коньяк, вино, шампанское, пиво, чай
бренди	бренди.2	виски, вина, коньяку, коньяка, мартини
бриллиант	бриллиант.1	алмаз, рубин, изумруд, сапфир, брильянт
буква	буква.1	строка, строчка, строфа, страница, ступенька
бумага	бумага.1	бумажка, солома, тряпка, одежда, пленка
были	были.1	кои, которые, каковые, которыя, кото­рые
были	были.2	оба, хорошо, твердо, всегда, давно
были	были.3	имелись, имеются, есть, найдутся, нашлись
были	были.4	единственные, такие, хорошие, живые, настоящие
были	были.5	будут, оказались, бы­ли, оставались, стали
были	были.6	появились, появятся, возникли, возникнут, появлялись
были	были.7	возлагали, возлагаются, возлагают, возлагались, возложены
были	были.8	делают, сделали, делали, проделывают, знают
быть	быть.1	оказаться, получиться, произойти, существовать, случиться
валюта	валюта.1	экономика, буржуазия, культура, пресса, держава
вампир	вампир.1	оборотень, демон, эльф, воин, маг
вампир	вампир.2	балл, пилотаж, судия, класс, вампиризм
вампир	вампир.3	вурдалак, монстр, маньяк, упырь, ублюдок
ванна	ванна.1	раковина, пепельница, вода, чаша, миска
вдова	вдова.1	женщина, вдовушка, жена, дама, девушка
величина	величина.1	цифра, сумма, субстанция, высота, константа
вера	вера.1	религия, потребность, молитва, церковь, дружба
вера	вера.2	убежденность, уверенность, любовь, влюбленность, заинтересованность
вертолет	вертолет.1	вертолеты, подкрепление, вертушку, подмогу, опергруппу
вертолет	вертолет.2	самолет, корабль, флаер, челнок, флайер
ветер	ветер.1	фен, вентилятор, паровоз, самовар, пылесос
ветер	ветер.2	шум, гвалт, гомон, кашель, вой
ветер	ветер.3	тракт, мыс, склон, проход, континент
ветер	ветер.4	ветерок, сквозняк, бриз, шторм, ураган
вещество	вещество.1	марево, облако, месиво, пятно, варево
вещество	вещество.2	существо, растение, зелье, снадобье, излучение
взрослый	взрослый.1	пожилой, незнакомый, сорокалетний, немолодой, представительный
взрослый	взрослый.2	нормальный, умный, женатый, зрелый, здоровый
вибрация	вибрация.1	тряска, дрожь, качка, пульсация, рябь
виноград	виноград.1	инжир, урожай, крыжовник, ячмень, персик
винтовка	винтовка.1	пушка, двустволка, сумка, сабля, беретта
витамин	витамин.1	инициалы, буквой, букву, инициалами, инициал
витамин	витамин.2	bf, hs, fw, ar, db
витамин	витамин.3	raison, coup, hors, chef, chefs
витамин	витамин.4	Витамин, буква, литера, robert, Буква
витамин	витамин.5	+, £, cos, ®, $
витамин	витамин.6	гормон, препарат, фермент, минерал, параметр
витамин	витамин.7	витамина, витамины, витамином, гепатит, провитамин
власть	власть.1	контроль, опеку, господство, гегемонию, юрисдикцию
власть	власть.2	бюрократия, Россия, государственность, печать, пропаганда
влечение	влечение.1	отвращение, пристрастие, стремление, притяжение, тяготение
вода	вода.1	кровь, слюна, влага, водица, водичка
возбуждение	возбуждение.1	волнение, раздражение, напряжение, беспокойство, нетерпение
воздействие	воздействие.1	влияние, действие, давление, впечатление, сопротивление
возраст	возраст.1	джентльмен, мужчина, американец, семьянин, юбилей
возраст	возраст.2	размер, рост, диаметр, вес, доход
возраст	возраст.3	период, рубеж, инструмент, типаж, показатель
война	война.1	битва, драка, борьба, схватка, бойня
волк	волк.1	зверь, тигр, лев, медведь, пес
волна	волна.1	струя, судорога, вспышка, дрожь, вода
воля	воля.1	душа, любовь, хватка, сила, просьба
воля	воля.2	симпатия, тяга, страсть, привязанность, ненависть
воля	воля.3	Воля, кара, милость, благодать, десница
воровство	воровство.1	хулиганство, мошенничество, взяточничество, мародерство, пьянство
восхищение	восхищение.1	изумление, возмущение, недоумение, сочувствие, недовольство
впечатление	впечатление.1	воздействие, ощущение, влияние, зрелище, впечатлѣніе
впечатление	впечатление.2	впечатления, фурор, сенсацию, посадку, перегруппировку
врач	врач.1	хирург, инженер, юрист, психиатр, психолог
встреча	встреча.1	беседа, поездка, стычка, свадьба, помолвка
выбор	выбор.1	вывод, поступок, вариант, путь, диагноз
высота	высота.1	достигнув, около, достигающие, достигала, достигающих
высота	высота.2	высотой, шириной, длиной, пролетев, диаметром
высота	высота.3	глубина, дистанция, величина, зарплата, сумма
высота	высота.4	длина, ширина, толщина, дальность, грузоподъемность
газета	газета.1	пресса, энциклопедия, газетка, партия, фирма
генерал	генерал.1	вице, контр, обер, премьер, статс
генерал	генерал.2	полковник, генерала, генералу, подполковник, генералом
геометрия	геометрия.1	математика, психология, арифметика, логика, физика
германец	германец.1	воин, немец, ариец, англичанин, славянин
гимнастика	гимнастика.1	зарядка, разминка, тренировка, физкультура, пробежка
гном	гном.1	старик, мужчина, мужик, воин, толстяк
гоблин	гоблин.1	старик, гном, эльф, тролль, человечек
гоблин	гоблин.2	Тимон, Арролд, Учиха, арн, Мадара
говядина	говядина.1	свинина, баранина, ветчина, рыба, телятина
голова	голова.1	гриппом, тифом, ангиной, корью, туберкулезом
голова	голова.2	башка, спина, поясница, головка, рука
голод	голод.1	жажду, стыд, тошноту, неловкость, головокружение
голод	голод.2	холод, дискомфорт, страх, жар, стресс
голос	голос.1	самооценку, квалификацию, температуру, градус, налоги
голос	голос.2	голосок, шепот, смех, басок, крик
гордость	гордость.1	гордыня, стеснительность, застенчивость, скромность, властность
гордость	гордость.2	радость, нежность, неловкость, грусть, злость
гормон	гормон.1	темпы, гормоном, невысокого, карьерного, замедление
гормон	гормон.2	дисфункции, гормонами, гипофункция, дисфункция, аденома
гормон	гормон.3	фермент, витамин, препарат, токсин, орган
гормон	гормон.4	гормоны, инсулин, адреналин, эстроген, ферменты
город	город.1	поселок, городок, дом, мир, замок
город	город.2	Париж, Лондон, Рим, Киев, деревню
горючее	горючее.1	топливо, бензин, боеприпасы, продовольствие, керосин
горючее	горючее.2	взрывчатое, питательное, ядовитое, красящее, отравляющее
горючее	горючее.3	плачевно, неудачей, благополучно, дракой, тупиком
господин	господин.1	гражданин, джентльмен, мужчина, дяденька, дядечка
господин	господин.2	мсье, месье, сеньор, госпожа, синьор
господин	господин.3	а, однако, когда, но, подумал
господин	господин.4	герр, товарищ, бывший, уважаемый, пан
государство	государство.1	общество, правительство, княжество, королевство, войско
грабеж	грабеж.1	разбой, шантаж, бандитизм, мордобой, разврат
грабеж	грабеж.2	бандит, грабитель, вор, лжец, хулиган
гравитация	гравитация.1	радуга, елка, мушка, плотина, дамба
гравитация	гравитация.2	радиация, температура, облачность, инфляция, самооценка
грех	грех.1	проступок, подвиг, промах, преступление, святотатство
грех	грех.2	грешно, глупо, мешает, помешает, зазорно
грех	грех.3	позор, недуг, порок, груз, искус
грех	грех.4	грешник, эгоист, зануда, выдумщик, ревнивец
гриб	гриб.1	помидор, фрукт, огурец, инжир, каштан
гриб	гриб.2	реактор, взрыв, заряд, фугас, боеприпас
гриб	гриб.3	грибок, цветок, мухомор, столб, лишайник
грипп	грипп.1	голод, шторм, понос, ураган, ливень
грипп	грипп.2	помет, жир, корм, окорок, хлев
грипп	грипп.3	насморк, тиф, бронхит, простуду, лихорадку
грудь	грудь.1	спину, шею, живот, ягодицу, челюсть
грудь	грудь.2	спина, шея, попка, задница, рука
груз	груз.1	бремя, камень, рюкзак, чемодан, воз
груз	груз.2	багаж, балласт, товар, труд, вес
грызун	грызун.1	зверек, зверь, воришка, хищник, ублюдок
дата	дата.1	дату, даты, датой, после, своевременность
дата	дата.2	цифра, датировка, копия, причина, веха
дать	дать.1	помочь, подарить, показать, предоставить, предложить
дача	дача.1	квартира, вилла, гостиница, усадьба, ферма
дворец	дворец.1	дворце, Францию, двор, Флоренцию, сне
дворец	дворец.2	замок, особняк, сад, дом, трон
девушка	девушка.1	женщина, девочка, девица, блондинка, девчушка
девушка	девушка.2	она, Катя, Настя, Лиза, Лена
дед	дед.1	старик, старец, дедок, старичок, старикан
дед	дед.2	отец, дедушка, прадед, муж, брат
дедушка	дедушка.1	дед, отец, папа, муж, брат
действие	действие.1	воздействие, влияние, средство, явление, впечатление
дельфин	дельфин.1	Дракон, Волк, Медведь, Камень, Орел
дельфин	дельфин.2	шарик, шар, цилиндр, полумесяц, цвет
дельфин	дельфин.3	кит, дракон, лебедь, волк, медведь
демон	демон.1	дьявол, бес, вампир, колдун, монстр
депрессия	депрессия.1	апатия, бессонница, хандра, меланхолия, паника
дерево	дерево.1	деревце, деревцо, бревно, растение, полено
дисциплина	дисциплина.1	выучка, выправка, субординация, организация, повинность
до	до.1	касались, касаясь, коснувшись, касался, касаются
до	до.2	после, [до, дождаться, дождавшись, дождался
до	до.3	достигающие, достигая, достиг, около, достигавшие
до	до.4	вместо, для, ДО, у, ради
добро	добро.1	Добро, зло, имущество, чудеса, согласие
добро	добро.2	зарядку, выводы, одолжения, гимнастику, аборт
добрый	добрый.1	хороший, мудрый, умный, милый, славный
дождь	дождь.1	ливень, дождик, снегопад, дождичек, шторм
дождь	дождь.2	ноябрь, декабрь, октябрь, февраль, сентябрь
доктор	доктор.1	бакалавр, профессор, преподаватель, магистр, профессора
доктор	доктор.2	дружище, сэр, старина, подумал, однако
доктор	доктор.3	господин, герр, фрау, месье, сеньор
доктор	доктор.4	кандидат, доктора, кандидатом, доктором, кандидату
доктор	доктор.5	мистер, миссис, мисс, капитан, миз
документ	документ.1	факт, текст, файл, феномен, эпизод
документ	документ.2	протокол, меморандум, договор, отчет, указ
дом	дом.1	особняк, коттедж, домик, сарай, город
дом	дом.2	квартиру, комнату, хижину, усадьбу, спальню
домашний	домашний.1	рогатый, породистый, вьючный, тягловый, двуногий
домашний	домашний.2	кодовый, регистрационный, идентификационный, сольный, порядковый
домашний	домашний.3	мамин, ваш, свой, бабушкин, знакомый
домашний	домашний.4	редакционный, электронный, точный, парижский, нужный
домашний	домашний.5	мобильный, контактный, сотовый, спутниковый, квартирный
домашний	домашний.6	купальный, махровый, банный, служебный, шелковый
домашний	домашний.7	семейный, личный, повседневный, собственный, убогий
дочь	дочь.1	сестра, жена, мать, дочка, внучка
дочь	дочь.2	дочку, сестру, племянницу, внучку, жену
драгоценность	драгоценность.1	ценность, красоту, цель, роскошь, радость
драгоценность	драгоценность.2	реликвия, вещь, достопримечательность, жемчужина, находка
драгоценность	драгоценность.3	реликвию, вещицу, святыню, жемчужину, безделушку
дракон	дракон.1	тюльпан, шар, цветок, цвет, треугольник
дракон	дракон.2	орел, лев, монстр, ястреб, зверь
дракон	дракон.3	Дракон, Орел, Рыцарь, Цветок, Волк
древесина	древесина.1	кора, кожа, глина, ветка, резина
друг	друг.1	закадычного, лучшего, верного, четвероногого, близкого
друг	друг.2	пуповиной, кабелем, проводами, трубопроводами, проходами
друг	друг.3	исключительно, только, преимущественно, именно, ни
друг	друг.4	свысока, исподлобья, украдкой, снисходительнее, недоброжелательно
друг	друг.5	союзник, ученик, соратник, отдых, защитник
друг	друг.6	непосредственно, напрямую, накоротке, впрямую, лично
друг	друг.7	издали, сверху, внешне, цветом, скорее
друг	друг.8	другъ, ДРУГ, дpуг, [друг, друт
друг	друг.9	лбами, носами, животами, щекой, грудью
друг	друг.10	слева, справа, отстоит, отстоящие, отстоящий
друг	друг.11	старому, лучшему, закадычному, четвероногому, близкому
друг	друг.12	дружок, дружочек, приятель, товарищ, кореш
дружба	дружба.1	беседа, переписка, вражда, встреча, любовь
душа	душа.1	натура, совесть, воля, психика, природа
душа	душа.2	душенька, жена, семья, мать, задница
душа	душа.3	голова, спина, нога, шея, поясница
душа	душа.4	душонка, женщина, девочка, девушка, собака
дядя	дядя.1	а, но, однако, когда, пока
дядя	дядя.2	подумал, Дядя, Дядь, возмутился, удивился
дядя	дядя.3	дядь, дед, дедушка, брат, дядюшка
дядя	дядя.4	сэр, старина, милый, дружище, голубчик
дядя	дядя.5	девятилетний, одиннадцатилетний, тринадцатилетний, семилетний, двенадцатилетний
европеец	европеец.1	мужчина, человек, джентльмен, англичанин, мужик
еда	еда.1	пища, закуска, жратва, выпивка, кормежка
епископ	епископ.1	священник, викарий, архиерей, кардинал, император
епископ	епископ.2	архиепископ, митрополит, святитель, преосвященный, архимандрит
епископ	епископ.3	епископа, уроженец, епископом, епископу, близ
епископ	епископ.4	Варлаам, Дионисий, Стефан, Симеон, Макарий
ж	ж.1	тебе, им, вам, ему, ей
ж	ж.2	це, гэта, тобі, тобi, тепер
ж	ж.3	денется, девается, девалась, подевалась, делось
ж	ж.4	стоишь, торчишь, бродишь, стоите, стоим
ж	ж.5	случилось, сталось, стряслось, сравнится, происходило
ж	ж.6	молчишь, скажешь, плачешь, орешь, кричишь
ж	ж.7	прикажешь, прикажете, велишь, повелишь, посоветуешь
ж	ж.8	ш, н, р, з, т
ж	ж.9	скажет, даст, поверит, принесет, укажет
ж	ж.10	живет, находится, прячется, взялся, обитает
ж	ж.11	же, б, ведь, конкретно, именно
жадность	жадность.1	алчность, ревность, похоть, гордыня, жестокость
жалоба	жалоба.1	мольба, надежда, обида, досада, тоска
жалоба	жалоба.2	заявка, просьба, претензия, радиограмма, телеграмма
жар	жар.1	холод, тепло, озноб, зной, зуд
желание	желание.1	вожделение, стремление, любопытство, пожелание, искушение
желудок	желудок.1	хищник, волк, тигр, удав, клоп
желудок	желудок.2	обморок, кашель, ревматизм, спазм, артрит
желудок	желудок.3	судорогой, спазмом, спазмами, судорогами, тошнотой
желудок	желудок.4	треп, болтовни, болтовней, формальностью, болтовне
желудок	желудок.5	холодильник, кошелек, бокал, стакан, бак
желудок	желудок.6	живот, кишечник, желудки, внутренности, горло
желудок	желудок.7	организм, мозг, собеседник, муж, приятель
жена	жена.1	мать, супруга, сестра, мама, подруга
женщина	женщина.1	девушка, дама, девочка, девица, особа
жестокость	жестокость.1	щедрость, грубость, осторожность, расточительность, снисходительность
живность	живность.1	нечисть, дичь, утварь, мелочь, дребедень
живность	живность.2	птицу, рыбешку, зверушку, рыбу, скотину
живот	живот.1	животик, грудь, затылок, зад, желудок
живот	живот.2	голова, спина, поясница, шея, нога
живот	живот.3	сверток, портфель, кошель, кошелек, бурдюк
живот	живот.4	гриппом, корью, ангиной, тифом, малярией
живот	живот.5	бугорок, горб, камень, синяк, рубец
животное	животное.1	существо, чудовище, насекомое, создание, растение
житель	житель.1	пейзаж, уголок, ландшафт, морг, закоулок
житель	житель.2	уроженец, уроженка, мэр, жительница, уроженца
житель	житель.3	обитатель, старожил, люд, гражданин, староста
жук	жук.1	гад, мерзавец, лис, гаденыш, слизняк
жук	жук.2	грузовичок, грузовик, мерседес, кадиллак, фургон
жук	жук.3	ромб, цветок, полумесяц, шарик, треугольник
жук	жук.4	паук, червяк, червь, дракон, таракан
забава	забава.1	игра, игрушка, шутка, тема, шалость
заведение	заведение.1	учреждение, местечко, мероприятие, предприятие, развлечение
зависимость	зависимость.1	оторванность, взаимосвязь, связь, отстраненность, независимость
завод	завод.1	заводик, комбинат, цех, заводы, техникум
задаток	задаток.1	аванс, выкуп, гонорар, штраф, предоплату
задаток	задаток.2	залог, коррективы, поправку, поправки, ясность
задача	задача.1	проблема, цель, миссия, работа, задачка
задница	задница.1	жопа, попка, спина, башка, шея
закон	закон.1	принцип, миропорядок, постулат, догмат, миф
закон	закон.2	Закон, запрет, этикет, субординацию, устав
закон	закон.3	декрет, билль, указ, Декрет, Акт
замок	замок.1	город, особняк, дворец, замке, дом
замок	замок.2	засов, замочек, запор, замки, шпингалет
замок	замок.3	затвором, задвижкой, выключателем, засовом, замком
занятие	занятие.1	времяпрепровождение, развлечение, времяпровождение, зрелище, мероприятие
запас	запас.1	резерв, лимит, излишек, избыток, объем
запас	запас.2	самородок, медалью, слиток, телец, монетой
запас	запас.3	расход, запасы, перерасход, запаса, нехватка
запах	запах.1	напиток, нектар, настой, соус, сок
запах	запах.2	струйки, струйка, струйку, напившись, потеки
запах	запах.3	аромат, привкус, душок, вкус, запашок
запах	запах.4	запахом, запахе, вонью, запахами, смрадом
запах	запах.5	биение, пульсацию, тепло, теплоту, прикосновение
запись	запись.1	записи, видеозаписи, рукопись, корреспонденцию, записанное
запись	запись.2	съемка, беседа, передача, кассета, дискуссия
запись	запись.3	заметка, надпись, пометка, отметка, статья
запись	запись.4	видеозапись, пленку, кассету, автоответчик, аудиозапись
запись	запись.5	заметку, пометку, статью, сообщение, лекцию
зарплата	зарплата.1	температура, урожайность, самооценка, высота, успеваемость
зарплата	зарплата.2	пенсия, стипендия, цена, плата, награда
затрата	затрата.1	сумма, единица, отдача, прибавка, величина
затрата	затрата.2	хватило, наберусь, недостанет, недостало, набралась
затрата	затрата.3	прорва, уйма, бездна, масса, кладовая
затрата	затрата.4	трата, растрата, экономия, концентрация, потеря
затрата	затрата.5	требует, требовало, потребует, требующие, требующим
защита	защита.1	страховка, гарантия, маскировка, зашита, поддержка
звезда	звезда.1	звездочка, Звезда, заря, луна, роза
зверь	зверь.1	хищник, зверек, волк, лев, тигр
звук	звук.1	шум, стон, смешок, шорох, хрип
звук	звук.2	громкость, свет, музыку, двигатель, приемник
здание	здание.1	здании, фойе, коридорах, подвалах, вестибюле
здание	здание.2	строение, сооружение, помещение, дерево, крыльцо
злак	злак.1	феномен, компонент, фермент, обычай, недуг
злак	злак.2	минерал, продукт, артефакт, ингредиент, инструмент
злак	злак.3	колос, кустарник, цветок, фрукт, напиток
змея	змея.1	дракона, змия, Змея, чудовища, монстра
змея	змея.2	гадюка, кобра, ящерица, оса, птица
знак	знак.1	сигнал, отмашку, команду, знака, указание
знак	знак.2	жест, признак, символ, пример, значок
знак	знак.3	знаки, заслуживающий, заслуживающее, заслуживающих, заслуживающей
знак	знак.4	ознаменование, ожидании, целях, предчувствии, качестве
знак	знак.5	жесте, порыве, знаке, гримасе, духе
знак	знак.6	велели, приказали, разрешат, разрешили, пришлось
знакомство	знакомство.1	общение, сотрудничество, свидание, ознакомление, соприкосновение
знакомство	знакомство.2	возиться, знакомиться, общаться, экспериментировать, встречаться
знакомство	знакомство.3	дружбу, беседу, интрижку, разговор, шашни
знание	знание.1	познание, понимание, мышление, незнание, бытие
знание	знание.2	учение, понятие, суждение, представление, утверждение
зуб	зуб.1	корью, тифом, гриппом, лихорадкой, ангиной
зуб	зуб.2	клык, живот, зубик, зубок, позвоночник
зуб	зуб.3	голова, поясница, спина, нога, коленка
зубр	зубр.1	зверь, воин, хрыч, вояка, волчара
зубр	зубр.2	бык, вепрь, медведь, волк, лев
игра	игра.1	работа, забава, игрушка, шутка, штука
игра	игра.2	война, битва, вечеринка, схватка, драка
игрушка	игрушка.1	вещица, кукла, штучка, штука, штуковина
издание	издание.1	переиздание, полугодие, блюдо, изд, поколение
издание	издание.2	мая, сентября, апреля, января, декабря
изделие	изделие.1	блюдо, сооружение, украшение, произведение, строение
излучение	излучение.1	облучение, вещество, свечение, воздействие, сияние
изобретение	изобретение.1	открытие, творение, произведение, начинание, достижение
институт	институт.1	техникум, колледж, вуз, университет, факультет
инструкция	инструкция.1	директива, информация, справка, записка, анкета
интеллект	интеллект.1	разум, ум, мозг, талант, организм
интеллигенция	интеллигенция.1	литература, элита, культура, эмиграция, буржуазия
интуиция	интуиция.1	репутация, идея, мускулатура, работа, сигнализация
интуиция	интуиция.2	логика, наблюдательность, проницательность, выдержка, смекалка
интуиция	интуиция.3	жена, мама, мать, подруга, бабушка
инфекция	инфекция.1	пневмония, болезнь, эпидемия, патология, хворь
инфекция	инфекция.2	зараза, бактерия, радиация, флора, травма
информация	информация.1	справка, документация, гипотеза, легенда, инфа
ископаемое	ископаемое.1	дизельное, ракетное, жидкое, ядерное, авиационное
ископаемое	ископаемое.2	четвероногое, двуногое, доисторическое, хищное, диковинное
ископаемое	ископаемое.3	существо, животное, насекомое, растение, вещество
искусство	искусство.1	мастерство, общество, ремесло, государство, мышление
испытание	испытание.1	проверку, испытания, Испытание, экзамен, инициацию
испытание	испытание.2	потрясение, препятствие, собеседование, задание, наказание
исследователь	исследователь.1	историк, ученый, физик, антрополог, экономист
истина	истина.1	правда, реальность, проблема, Истина, тайна
история	история.1	сцена, штука, сказка, картина, легенда
источник	источник.1	луч, лучик, сгусток, родник, проблеск
источник	источник.2	получение, утечка, накопление, передача, поглощение
источник	источник.3	выброс, выплеск, избыток, расход, всплеск
источник	источник.4	кладезь, носитель, первоисточник, источники, накопитель
к	к.1	къ, /к, благодаря, по, радовалась
к	к.2	с, над, перед, за, пеpед
к	к.3	научили, научите, научить, учили, учит
кактус	кактус.1	цветок, фикус, папоротник, каштан, кустарник
кактус	кактус.2	человечек, паук, зверек, очкарик, мужичонка
камень	камень.1	камешек, булыжник, валун, камушек, гранит
канал	канал.1	тоннель, туннель, телеканал, перешеек, коридор
канал	канал.2	сеанс, родственные, ассоциативные, внебрачные, причинной
канал	канал.3	Канал, Дунай, Днепр, Евфрат, Днестр
канал	канал.4	экран, тумблер, терминал, аппарат, пульт
канцлер	канцлер.1	бюджет, казначей, чиновник, обвинитель, деятель
канцлер	канцлер.2	рейхсканцлер, посол, король, фельдмаршал, император
канцлер	канцлер.3	дипломат, полководец, писатель, военачальник, поэт
канцлер	канцлер.4	ротмистр, майор, полковник, хорунжий, фельдфебель
канцлер	канцлер.5	гетман, Канцлер, магистр, князь, инквизитор
капуста	капуста.1	свекла, рыба, говядина, картошка, свинина
кардинал	кардинал.1	архиепископ, епископ, император, философ, король
кардинал	кардинал.2	герцог, кардинала, кардиналу, маркиз, кардиналом
кардинал	кардинал.3	волк, костюм, призрак, Волк, жеребец
карта	карта.1	карточка, папка, сумка, бумажка, шкатулка
карта	карта.2	книга, схема, диаграмма, фотография, фишка
карьера	карьера.1	жена, подруга, мать, сестра, невеста
