Word	Meaning	Top5
пулемет	пулемет.2	автомат, гранатомет, миномет, арбалет, карабин
пулемет	пулемет.3	пулемета, пулеметы, пулеметом, пулеметами, пулеметов
пулемет	пулемет.4	мотор, мотоцикл, двигатель, проектор, насос
пулемет	пулемет.5	танк, пулеметчик, бомбардировщик, бронепоезд, самолет
пункт	пункт.1	этап, пост, параграф, рубеж, модуль
путешествие	путешествие.1	плавание, странствие, восхождение, приключение, плаванье
путешествие	путешествие.2	поездку, прогулку, экскурсию, полет, поход
путь	путь.1	стезю, пути, ниве, путях, алтарь
путь	путь.2	дорогу, тропу, тропинку, дорожку, тропку
путь	путь.3	маршрут, полет, спуск, доступ, перелет
путь	путь.4	проход, проезд, коридор, фарватер, туннель
пушка	пушка.1	гаубица, винтовка, артиллерия, мортира, батарея
пушка	пушка.2	пушкой, пушки, пушек, пушками, пушке
работа	работа.1	задача, профессия, работенка, миссия, игра
работник	работник.1	сотрудник, специалист, руководитель, чиновник, функционер
работник	работник.2	персонал, деятель, актив, центр, институт
рабочий	рабочий.1	десятый, одиннадцатый, третий, пятый, девятый
рабочий	рабочий.2	операционный, служебный, директорский, письменный, массажный
рабочий	рабочий.3	правящий, господствующий, средний, креативный, привилегированный
рабочий	рабочий.4	съемочный, завтрашний, выходной, Судный, базарный
разведка	разведка.1	контрразведка, авиация, армия, агентура, дипломатия
разговор	разговор.1	спор, диалог, рассказ, поединок, допрос
разговор	разговор.2	беседу, дискуссию, переговоры, игру, перепалку
размах	размах.1	масштаб, резонанс, вес, успех, энтузиазм
размер	размер.1	этаж, класс, ярус, год, километр
размер	размер.2	увеличение, повышение, уменьшение, снижение, сокращение
размер	размер.3	диаметр, вес, калибр, возраст, объем
размер	размер.4	величина, сумма, толщину, величину, длину
размер	размер.5	выплата, выплату, выплате, уплата, получение
разница	разница.1	дистанция, проблема, различие, корреляция, разность
разум	разум.1	ум, организм, интеллект, эгоизм, облик
разум	разум.2	рассудок, сознание, самообладание, самоконтроль, равновесие
разум	разум.3	мозг, отец, муж, собеседник, приятель
ракета	ракета.1	стрела, торпеда, граната, бомба, пуля
рана	рана.1	травма, авария, ошибка, тайна, сцена
рана	рана.2	схватка, бойня, сеча, резня, свалка
рана	рана.3	болезнь, обида, контузия, депрессия, усталость
рана	рана.4	ранка, царапина, ссадина, язва, пробоина
рана	рана.5	лодыжка, нога, коленка, спина, шея
раса	раса.1	цивилизация, нация, каста, страна, планета
растение	растение.1	животное, дерево, существо, насекомое, вещество
растительность	растительность.1	поросль, зелень, трава, живность, флора
реакция	реакция.1	атака, позиция, разрядка, тактика, предосторожность
ребенок	ребенок.1	малыш, мальчик, младенец, мальчишка, щенок
ребенок	ребенок.2	сын, пациент, муж, клиент, внук
революция	революция.1	литература, война, Революция, культура, катастрофа
результат	результат.1	эффект, продукт, следствие, успех, ответ
река	река.1	речка, речушка, вода, Темза, Нева
религия	религия.1	вера, культура, мифология, традиция, философия
ремесло	ремесло.1	искусство, занятие, мастерство, дело, призвание
рептилия	рептилия.1	тварь, ящерица, змея, птица, обезьяна
репутация	репутация.1	жена, мать, подруга, сестра, невеста
репутация	репутация.2	карьера, семья, примета, слава, погода
родственник	родственник.1	рейс, космос, бомбардировщик, Восток, заброс
родственник	родственник.2	родич, племянник, сосед, брат, предок
родственник	родственник.3	холостяк, вельможа, крестьянин, сановник, помещик
родственник	родственник.4	гастроном, бархан, супермаркет, лесок, райцентр
рожа	рожа.1	морда, физиономия, харя, образина, мордочка
роза	роза.1	лилия, орхидея, гвоздика, звезда, лента
рост	рост.1	забор, сугроб, холм, постамент, утес
рост	рост.2	спад, прирост, подъем, взлет, упадок
рост	рост.3	снижение, увеличение, повышение, сокращение, уменьшение
рубашка	рубашка.1	рубаха, сорочка, блузка, футболка, майка
руда	руда.1	пластина, монета, проволока, пластинка, дорога
ружье	ружье.1	винтовку, автомат, оружие, пистолет, карабин
рука	рука.1	жена, спутница, собеседница, противница, подруга
рука	рука.2	нога, щека, ступня, лапа, ладонь
руководитель	руководитель.1	сотрудник, начальник, глава, директор, руководителю
руководитель	руководитель.2	Руководитель, Начальник, Сотрудник, Руководителем, Начальнику
ручка	ручка.1	рукоятка, ножка, ладошка, фигурка, авторучка
рыба	рыба.1	рыбка, рыбина, щука, рыбешка, птица
рыба	рыба.2	говядина, свинина, баранина, курица, камбала
сад	сад.1	пирог, сок, компот, джем, ликер
сад	сад.2	парк, садик, луг, двор, палисадник
салат	салат.1	суп, омлет, паштет, пирог, салатик
самолет	самолет.1	автомобиль, поезд, автобус, грузовик, мотоцикл
самолет	самолет.2	вертолет, истребитель, корабль, аэроплан, бомбардировщик
самообладание	самообладание.1	хладнокровие, спокойствие, терпение, мужество, здравомыслие
самообладание	самообладание.2	равновесие, рассудок, сознание, бдительность, самообладания
свадьба	свадьба.1	помолвка, встреча, коронация, вечеринка, сделка
свет	свет.1	ночник, фонарь, фонарик, лампу, прожектор
свет	свет.2	блик, луч, отсвет, отблеск, полусвет
свидетельство	свидетельство.1	свидетельства, сведения, данные, известия, справки
свидетельство	свидетельство.2	доказательство, подтверждение, представление, упоминание, уведомление
свобода	свобода.1	гармония, демократия, сила, анархия, автономия
свойство	свойство.1	качество, явление, событие, достоинство, обстоятельство
связь	связь.1	переписка, дружба, договоренность, вражда, конфронтация
связь	связь.2	радиосвязь, видеосвязь, трансляцию, сцепление, сигнализацию
связь	связь.3	нить, цепь, ниточка, пуповина, привязь
связь	связь.4	переписку, дружбу, беседу, торговлю, конфронтацию
связь	связь.5	сходство, разницу, различие, соответствие, различия
связь	связь.6	взаимосвязь, близость, зависимость, параллель, корреляция
связь	связь.7	контакт, контакты, сношения, соприкосновение, отношения
священник	священник.1	священнослужитель, монах, богослов, пастор, миссионер
сегодня	сегодня.1	туда, обедать, дальше, ужинать, куда–нибудь
сегодня	сегодня.2	сию, тотчас, сразу, тут, так
сегодня	сегодня.3	нынче, завтра, вчера, однажды, воскресным
сегодня	сегодня.4	прошлой, позапрошлой, минувшей, прошедшей, сегодняшней
сегодня	сегодня.5	увидимся, проснешься, просыпаешься, просыпаюсь, просыпался
сегодня	сегодня.6	сейчас, тогда, ведь, тоже, действительно
секира	секира.1	сабля, палица, дубинка, стрела, булава
секс	секс.1	трах, флирт, шопинг, поцелуй, характер
секс	секс.2	пиар, интернет, гей, стрип, фитнес
секс	секс.3	любовник, игрок, актер, специалист, стрелок
семья	семья.1	жена, мать, сестра, дочь, мама
семья	семья.2	страна, компания, команда, родня, деревня
семя	семя.1	отродье, семечко, зерно, племя, зернышко
семя	семя.2	сперму, лаву, желчь, рвоту, душу
серьга	серьга.1	сережка, заколка, диадема, булавка, люстра
сестра	сестра.1	мать, жена, дочь, подруга, мама
сила	сила.1	мощь, грация, доброта, теплота, жестокость
сила	сила.2	энергия, красота, субстанция, стихия, магия
симптом	симптом.1	симптомы, инфекционные, венерические, заразные, симптомом
симптом	симптом.2	признак, феномен, фактор, факт, эпизод
симптом	симптом.3	звоночек, звук, хрип, свист, треск
система	система.1	структура, программа, организация, реформа, схема
ситуация	ситуация.1	обстановка, картина, история, конъюнктура, процедура
склад	склад.1	складе, склады, складах, запас, закупку
склад	склад.2	магазин, магазинчик, арсенал, погреб, сарай
скорость	скорость.1	обороты, темп, высоту, громкость, амплитуду
скорость	скорость.2	одежду, туфли, обувь, одеяло, маску
скука	скука.1	тоска, усталость, печаль, тревога, апатия
слава	слава.1	молва, репутация, примета, весть, красота
слава	слава.2	Слава, Благодарение, Хвала, Молитесь, Молись
слава	слава.3	посвященный, посвященные, посвященных, посвященная, подобно
слава	слава.4	хвала, благодарение, молись, молитесь, молясь
слава	слава.5	воля, благость, кара, милость, десница
славянин	славянин.1	еврей, англичанин, ариец, горожанин, воин
сладость	сладость.1	прелесть, нежность, радость, мягкость, теплоту
сладость	сладость.2	жидкость, мякоть, жижу, слюну, патоку
сладость	сладость.3	горечь, грусть, истому, слабость, печаль
слово	слово.1	словечко, словцо, словосочетание, название, обещание
сложение	сложение.1	телосложение, тело, здоровье, тельце, сочетание
слой	слой.1	пласт, покров, ярус, этаж, палеолит
слой	слой.2	уровень, класс, предел, контекст, феномен
слуга	слуга.1	официант, лакей, дворецкий, раб, служитель
слуга	слуга.2	помазанник, агнец, Слуга, Агнец, глас
слуга	слуга.3	сын, муж, избранник, приятель, супруг
служба	служба.1	месса, операция, трапеза, учеба, литургия
служба	служба.2	техника, миссия, организация, база, дисциплина
служить	служить.1	послужить, являться, помогать, принадлежать, помочь
слух	слух.1	нюх, зрение, обоняние, память, извилины
слух	слух.2	слушок, молву, сплетню, дезинформацию, клевету
слух	слух.3	миф, рассказ, тезис, сюжет, билль
слух	слух.4	мускулы, мышцы, бицепс, бицепсы, ягодицы
слух	слух.5	весть, молва, известие, повсюду, информация
слух	слух.6	шепоток, сквознячок, шепот, звук, намек
слух	слух.7	газ, ток, секундомер, автопилот, микрофон
слух	слух.8	аппендицит, артрит, бронхит, ревматизм, геморрой
слух	слух.9	сыр, глотки, ростбиф, колбасу, хлеб
слух	слух.10	стилист, критик, любовник, тактик, эстет
случай	случай.1	предотвращение, грани, преодоление, подготовку, месте
случай	случай.2	эпизод, пожарный, инцидент, казус, факт
смерть	смерть.1	гибель, кончину, погибель, кончина, казнь
смех	смех.1	всхлипывания, всхлипы, смешки, стоны, аплодисменты
смех	смех.2	хохот, смешок, крик, стон, кашель
смех	смех.3	рыдания, зевоту, раздражение, тошноту, улыбку
смола	смола.1	лава, вода, пена, слюна, кровь
снаряд	снаряд.1	дивизион, полк, батальон, взвод, артполк
снаряд	снаряд.2	болт, заряд, дротик, фугас, выстрел
снаряд	снаряд.3	самолет, метеорит, истребитель, бомбардировщик, метеор
снаряжение	снаряжение.1	амуницию, чемоданы, рюкзаки, поклажу, экипировку
снаряжение	снаряжение.2	оборудование, обмундирование, оружие, имущество, вооружение
собака	собака.1	собачонка, кошка, псина, дворняжка, дворняга
собрание	собрание.1	Собрание, ополчение, достояние, вече, сословие
собрание	собрание.2	совещание, заседание, мероприятие, празднество, голосование
событие	событие.1	происшествие, открытие, явление, обстоятельство, зрелище
совесть	совесть.1	сознательность, мораль, порядочность, добродетель, нравственность
совесть	совесть.2	душа, интуиция, жена, мать, репутация
совесть	совесть.3	ностальгия, ревность, гордость, тревога, стыд
совесть	совесть.4	бессонница, жажда, изжога, подагра, одышка
советник	советник.1	помощник, секретарь, консультант, Советник, камергер
советник	советник.2	совет, агент, министр, чиновник, асессор
соединение	соединение.1	подразделение, слияние, взаимодействие, единение, объединение
создание	создание.1	существо, созданье, животное, дитя, насекомое
создание	создание.2	формирование, введение, разработку, поддержание, изготовление
сон	сон.1	кошмар, полусон, транс, отдых, покой
сон	сон.2	дрему, дремоту, сонливость, полудрему, дурноту
сооружение	сооружение.1	строение, здание, существо, зрелище, приспособление
состязание	состязание.1	пари, поединок, турнир, битву, гонку
состязание	состязание.2	соревнование, сражение, единоборство, соперничество, празднество
сосуд	сосуд.1	кувшин, флакон, кубок, горшок, пузырек
соус	соус.1	суп, сироп, маринад, бульон, отвар
сочетание	сочетание.1	зрелище, совпадение, сравнение, явление, соседство
специалист	специалист.1	эксперт, спец, профессионал, консультант, юрист
специя	специя.1	приправа, пряность, тема, асана, пища
спорт	спорт.1	учебу, поэзию, журналистику, юриспруденцию, медицину
спорт	спорт.2	туризм, футбол, хоккей, курорт, бейсбол
спорт	спорт.3	полк, батальон, корпус, разъезд, отряд
спорт	спорт.4	писатель, спортсмен, игрок, разведчик, революционер
способ	способ.1	лекарь, фехтовальщик, пловец, бегун, воин
способ	способ.2	способы, средство, способа, способу, способе
способ	способ.3	шанс, метод, вариант, выход, рецепт
способность	способность.1	склонность, восприимчивость, предрасположенность, чувствительность, привязанность
способность	способность.2	неспособность, умение, способности, умению, умением
среда	среда.1	обстановка, атмосфера, структура, политика, субстанция
ссылка	ссылка.1	аллюзия, заявка, каторга, ориентация, пародия
станок	станок.1	цех, прибор, компьютер, проигрыватель, станочек
старик	старик.1	старичок, мужчина, мужик, старикашка, старец
старость	старость.1	старушку, женщину, старуху, бабушку, развалину
старость	старость.2	шумок, Сталинградом, кайфом, конец, гипнозом
старость	старость.3	осень, смерть, зима, весна, жизнь
статья	статья.1	заметка, книга, рецензия, статейка, брошюра
стихия	стихия.1	сила, энергия, среда, буря, магия
сторона	сторона.1	половина, делегация, разведка, стена, дипломатия
сторона	сторона.2	нога, рука, штанина, щека, ноздря
страсть	страсть.1	ненависть, любовь, привязанность, тяга, склонность
страх	страх.1	ужас, стыд, испуг, трепет, гнев
страх	страх.2	робость, брезгливость, тошноту, тревогу, дурноту
стрела	стрела.1	пуля, игла, ракета, молния, торпеда
строение	строение.1	здание, сооружение, помещение, надгробие, дерево
структура	структура.1	система, организация, конструкция, субстанция, программа
стыд	стыд.1	страх, ужас, неловкость, восторг, голод
стыд	стыд.2	смущение, головокружение, облегчение, отвращение, разочарование
суд	суд.1	промысел, гнев, Промысел, дар, промысл
суд	суд.2	трибунал, Суд, судья, самосуд, Совет
судья	судья.1	мистер, миссис, мисс, доктор, капитан
судья	судья.2	суд, судия, арбитр, жрец, правитель
судья	судья.3	войны, рекорд, войне, закулисы, революции
суп	суп.1	кофе, чай, глинтвейн, напиток, пунш
суп	суп.2	борщ, бульон, салат, супчик, соус
сустав	сустав.1	позвоночник, позвонок, сгиб, нерв, лодыжку
сухарь	сухарь.1	сухарик, хлеб, круассан, хлебец, печенье
сухарь	сухарь.2	эгоист, негодяй, болван, мерзавец, ублюдок
существо	существо.1	создание, животное, чудовище, насекомое, созданье
сущность	сущность.1	природу, суть, ценность, субстанцию, реальность
сцена	сцена.1	картина, сценка, история, фраза, картинка
счастье	счастье.1	блаженство, наслаждение, счастие, несчастье, богатство
сын	сын.1	дочь, вдова, супруга, дочка, внучка
сын	сын.2	брат, внук, отец, племянник, муж
сын	сын.3	лейтенант, сержант, политрук, офицер, оперуполномоченный
сырье	сырье.1	оборудование, топливо, удобрение, вещество, снаряжение
сырье	сырье.2	продовольствие, нефть, провизию, фураж, товары
тактика	тактика.1	стратегия, позиция, методика, практика, схема
талант	талант.1	дар, гений, темперамент, интерес, артистизм
талант	талант.2	художник, артист, педагог, профессионал, стратег
танец	танец.1	вальс, пируэт, поцелуй, пляс, ритуал
тачка	тачка.1	машина, иномарка, повозка, коляска, телега
тачка	тачка.2	телка, штучка, игрушка, вещица, машинка
тварь	тварь.1	гадину, бестию, рептилию, ящерицу, скотину
тварь	тварь.2	скотина, гадина, дрянь, сука, сволочь
телефон	телефон.1	мобильник, коммуникатор, сотовый, мобильный, радиотелефон
телефон	телефон.2	блокнот, пистолет, пудреницу, бумажник, револьвер
тело	тело.1	сознание, сердце, естество, имя, дитя
тело	тело.2	тельце, туловище, лицо, существо, телосложение
телосложение	телосложение.1	сложение, тело, тельце, воспитание, сооружение
темперамент	темперамент.1	нрав, характер, талант, энтузиазм, норов
температура	температура.1	влажность, зарплата, самооценка, рождаемость, кислотность
температура	температура.2	планка, колокольня, гора, башня, ограда
теория	теория.1	гипотеза, версия, концепция, идея, догадка
терпение	терпение.1	самообладание, терпенье, мужество, великодушие, упорство
терпение	терпение.2	благоразумие, бдительность, сознание, выдержку, осторожность
техника	техника.1	технология, аппаратура, методика, электроника, наука
технология	технология.1	техника, методика, программа, схема, модель
ткань	ткань.1	материю, накидку, шаль, рубашку, простыню
ткань	ткань.2	материя, рубашка, рубаха, блузка, сорочка
товар	товар.1	продукт, груз, ширпотреб, товарец, материал
товар	товар.2	товары, провиант, продовольствие, недвижимость, пушнину
токсин	токсин.1	яд, препарат, наркотик, фермент, гормон
токсин	токсин.2	инсулин, токсины, газ, адреналин, пигмент
топор	топор.1	меч, нож, кинжал, клинок, топорик
торговец	торговец.1	торговцы, торгуя, торгующий, торгующие, торговал
торговец	торговец.2	купец, бизнесмен, коммерсант, спекулянт, делец
торговля	торговля.1	переписка, коммерция, спекуляция, беседа, борьба
торговля	торговля.2	политика, разведка, лавка, лавочка, держава
торговля	торговля.3	торговцы, торговец, торгуя, торгующие, торгует
тоска	тоска.1	печаль, ностальгия, скука, грусть, тревога
травма	травма.1	рана, контузия, болезнь, встряска, нагрузка
трагедия	трагедия.1	бойня, драка, резня, давка, буря
трагедия	трагедия.2	катастрофа, драма, беда, авария, неприятность
тракт	тракт.1	проселок, проспект, большак, шлях, бульвар
тракт	тракт.2	Тракт, вокзал, город, континент, материк
транспорт	транспорт.1	корабль, пароход, танкер, автотранспорт, автомобиль
тревога	тревога.1	печаль, паника, досада, обида, грусть
трофей	трофей.1	приз, подарок, сувенир, экспонат, груз
трофей	трофей.2	нож, рог, сверток, дробовик, молот
труд	труд.1	подвиг, груз, трактат, характер, недуг
труд	труд.2	смелость, обязанным, обязанной, обязанными, обязательство
у	у.1	интересующая, интересующий, интересующее, интересующие, интересующих
у	у.2	для, возле, подле, вместо, про
у	у.3	У, Для, Ради, …от, Про
у	у.4	избавь, избави, ждите, отвезите, храни
у	у.5	заставляет, одарит, защитит, избавит, утешит
у	у.6	отвезти, сопровождать, отпустить, полюбить, впустить
у	у.7	глупее, счастливее, поумнее, роднее, храбрее
у	у.8	уверяю, прошу, увижу, приглашаю, слушаю
убеждение	убеждение.1	опасение, подозрение, предубеждение, сожаление, неверие
убеждение	убеждение.2	мнение, предположение, верование, суждение, утверждение
уборка	уборка.1	репетиция, погрузка, чистка, стирка, проверка
уборка	уборка.2	уборке, уборкой, уборки, вывоз, уборку
уважение	уважение.1	почтение, доверие, отвращение, презрение, сочувствие
углевод	углевод.1	белок, углерод, протеин, мотив, спирт
углевод	углевод.2	экспромт, вымысел, абсурд, русак, суицид
угроза	угроза.1	насмешка, издевка, ирония, тревога, обида
угроза	угроза.2	опасность, проблема, причина, помеха, тайна
удар	удар.1	контрудар, пинок, выпад, апперкот, тычок
удобство	удобство.1	надежность, эффективность, простоту, оперативность, точность
удобство	удобство.2	преимущество, неудобство, значение, подспорье, удовольствие
уж	уж.1	скажи, скажите, поговорите, ошибаетесь, стоите
уж	уж.2	уже, ж, даже, ужь, б
уж	уж.3	горяч, молод, мягок, молода, быстр
уж	уж.4	поступлю, умру, заживем, погибну, появлюсь
уж	уж.5	смотри, смотрите, слушай, послушай, глядите
уж	уж.6	удачно, глупо, непохоже, складно, кстати
уж	уж.7	случится, повторюсь, повторю, сделаешь, повезет
уж	уж.8	запомни, учтите, предупреждаю, запомните, учти
ужас	ужас.1	страх, восторг, трепет, испуг, стыд
ужас	ужас.2	вопль, визг, стон, крик, вой
уже	уже.1	тоже, действительно, ведь, давно, просто
ужин	ужин.1	обед, завтрак, ленч, ланч, еду
ужин	ужин.2	чай, глинтвейн, кофе, грог, пунш
ужин	ужин.3	банкет, пир, фуршет, концерт, вечер
узел	узел.1	узелок, узлы, шнуровку, шнурок, шнурки
узел	узел.2	мешок, сверток, тюк, мешочек, рюкзак
указ	указ.1	дворец, штандарт, трон, венец, советник
указ	указ.2	декрет, Указ, манифест, рескрипт, эдикт
украшение	украшение.1	ожерелье, развлечение, блюдо, колье, кольцо
укрытие	укрытие.1	защиту, прикрытием, сенью, сень, защитой
укрытие	укрытие.2	убежище, прикрытие, пристанище, местечко, место
улыбка	улыбка.1	усмешка, ухмылка, полуулыбка, улыбочка, насмешка
умение	умение.1	позволяющие, неспособность, позволяющих, способные, позволяющий
умение	умение.2	неумение, умению, умением, умеющий, умения
упражнение	упражнение.1	задание, обстоятельство, асану, лекарство, занятие
уровень	уровень.1	этаж, класс, ярус, рост, потенциал
уровень	уровень.2	снижение, увеличение, повышение, степень, динамику
условие	условие.1	правило, требование, отличие, препятствие, обстоятельство
услуга	услуга.1	проблема, информация, просьба, консультация, страховка
успех	успех.1	резонанс, эффект, выигрыш, прогресс, авторитет
установка	установка.1	ориентация, позиция, батарея, пушка, программа
устройство	устройство.1	приспособление, оборудование, заклинание, учреждение, сооружение
утварь	утварь.1	посуда, чаша, чернильница, безделушка, брошь
утварь	утварь.2	посуду, вещицу, безделушку, вазу, чашу
утварь	утварь.3	мебель, снедь, живность, рухлядь, дребедень
уход	уход.1	собеседник, муж, отец, приятель, клиент
уход	уход.2	отъезд, присмотр, надзор, отход, отказ
ученый	ученый.1	физик, писатель, историк, философ, поэт
учитель	учитель.1	учительница, преподавательница, учителем, учителя, преподавателем
учитель	учитель.2	преподаватель, учебник, врач, адвокат, тренер
учитель	учитель.3	наставник, приятель, отец, муж, коллега
учреждение	учреждение.1	заведение, мероприятие, предприятие, образование, подразделение
факт	факт.1	эпизод, феномен, документ, инцидент, парадокс
факт	факт.2	негодяй, наглец, мерзавец, гад, хмырь
фамилия	фамилия.1	семья, профессия, вещица, песня, жена
фантазия	фантазия.1	выдумка, блажь, идея, затея, натура
фантазия	фантазия.2	мнительность, сентиментальность, страсть, веселость, гордыня
ферма	ферма.1	усадьба, вилла, деревня, дача, квартира
фермент	фермент.1	гормон, препарат, ингредиент, элемент, ген
фермент	фермент.2	пигмент, инсулин, ферменты, белок, протеин
фигура	фигура.1	тень, скала, туша, одежда, башня
фигура	фигура.2	фигурка, брюнетка, женщина, блондинка, личность
фигурка	фигурка.1	фигура, шейка, статуэтка, головка, ножка
фигурка	фигурка.2	брюнетка, блондинка, блондиночка, старушка, девчушка
физик	физик.1	ученый, писатель, химик, историк, математик
физиономия	физиономия.1	рожа, морда, мордочка, мордашка, харя
философия	философия.1	культура, литература, наука, поэзия, мифология
фирма	фирма.1	компания, контора, корпорация, страна, организация
фобия	фобия.1	аллергия, паранойя, проблема, болезнь, привычка
фонд	фонд.1	капитал, комитет, банк, архив, отдел
фонд	фонд.2	Фонд, фонде, пользу, фонды, интересах
форма	форма.1	униформа, сфера, структура, стратегия, модель
форма	форма.2	фуражка, гимнастерка, куртка, сумка, кепка
фотография	фотография.1	фотокарточка, картинка, открытка, гравюра, репродукция
фрукт	фрукт.1	сувенир, предмет, экземпляр, экспонат, артефакт
фрукт	фрукт.2	персик, плод, банан, апельсин, помидор
фрукт	фрукт.3	мерзавец, тип, наглец, типчик, гад
характеристика	характеристика.1	оценка, формулировка, тема, информация, функция
химера	химера.1	выдумка, бессмыслица, фикция, утопия, чепуха
химера	химера.2	тварь, змея, пантера, акула, гидра
ходьба	ходьба.1	езда, прогулка, беготня, пробежка, походка
хозяйство	хозяйство.1	имущество, предприятие, землевладение, государство, достояние
холод	холод.1	жар, озноб, холодок, голод, мороз
холод	холод.2	вой, грохот, шум, визг, вопль
холод	холод.3	тепло, прохладу, сырость, покалывание, тошноту
холодный	холодный.1	осенний, весенний, ноябрьский, дождливый, декабрьский
холодный	холодный.2	прохладный, теплый, морозный, студеный, ледяной
холодный	холодный.3	твердый, хмурый, мрачный, ласковый, неприветливый
художник	художник.1	поэт, писатель, живописец, ученый, актер
цвет	цвет.1	окраску, облик, галс, направление, тональность
цвет	цвет.2	оттенок, окрас, бархат, шелк, колер
цель	цель.1	задачу, причину, точку, позицию, функцию
цель	цель.2	задача, причина, ценность, мишень, проблема
цена	цена.1	стоимость, температура, себестоимость, рождаемость, доходность
цена	цена.2	плата, награда, зарплата, ставка, сумма
ценность	ценность.1	значимость, опасность, цель, трудность, угрозу
центр	центр.1	комплекс, Центр, институт, отдел, модуль
центр	центр.2	центре, середину, середине, глубь, глубине
церковь	церковь.1	веру, религию, мессу, культуру, традицию
церковь	церковь.2	часовня, мечеть, церквушка, крепость, церковка
церковь	церковь.3	часовню, храм, школу, синагогу, общину
церковь	церковь.4	Церковь, община, религия, вера, литургия
чай	чай.1	кофе, пиво, коньяк, шампанское, водку
чашка	чашка.1	чашечка, тарелка, миска, кружка, ваза
чашка	чашка.2	чашкой, чашечку, чашку, чашечкой, чашки
человек	человек.1	километров, штук, рублей, фунтов, миль
человек	человек.2	парень, мужчина, мужик, юноша, джентльмен
черный	черный.1	белоснежный, полосатый, мешковатый, поношенный, потертый
черный	черный.2	серый, белый, темный, синий, коричневый
честолюбие	честолюбие.1	любопытство, нетерпение, вожделение, возбуждение, самодовольство
честолюбие	честолюбие.2	тщеславие, самолюбие, самомнение, властолюбие, упрямство
чиновник	чиновник.1	служащий, сановник, деятель, работник, орган
член	член.1	председатель, члену, члены, члена, Член
член	член.2	пенис, фаллос, сосок, хуй, клитор
член	член.3	выпускник, ректор, воспитанник, выпускника, выпускница
чтение	чтение.1	чтении, написании, составлении, заголовке, заглавии
чтение	чтение.2	изучение, повествование, чтением, чтиво, бритье
чувство	чувство.1	ощущение, предчувствие, волнение, томление, переживание
шакал	шакал.1	пес, ублюдок, койот, подонок, негодяй
шар	шар.1	шарик, диск, цилиндр, купол, смерч
шея	шея.1	спина, поясница, шейка, лодыжка, кожа
шея	шея.2	брюнетка, блондинка, девушка, женщина, мулатка
школа	школа.1	академия, литература, больница, библиотека, гимназия
шкура	шкура.1	кожа, морда, шерсть, шкурка, туша
шрам	шрам.1	ссадину, шишку, щетину, царапину, ямочку
шрам	шрам.2	рубец, порез, кровоподтек, синяк, шрамик
электроника	электроника.1	техника, аппаратура, автоматика, химия, наука
эмоция	эмоция.1	мотивация, тема, вещь, личность, энергия
энергия	энергия.1	сила, энергетика, субстанция, стихия, активность
эпидемия	эпидемия.1	чума, гроза, буря, пандемия, паника
эпидемия	эпидемия.2	вирус, возбудитель, эпидемию, возбудители, бациллы
юрист	юрист.1	врач, журналист, адвокат, экономист, психолог
яблоко	яблоко.1	пирожное, печенье, банан, бутерброд, апельсин
яблоко	яблоко.2	яблочко, яйцо, дерево, яичко, перо
яблоня	яблоня.1	вишня, сосна, береза, акация, черемуха
ягода	ягода.1	ягодка, земляника, малина, дыня, клубника
яд	яд.1	наркотик, снотворное, токсин, мышьяк, морфий
яд	яд.2	укус, жар, холод, враг, смрад
яд	яд.3	отраву, яду, мед, снадобье, зелье
язва	язва.1	зараза, стерва, помойка, дура, гадина
язва	язва.2	астма, болезнь, подагра, аллергия, ангина
язва	язва.3	рана, ранка, ссадина, опухоль, царапина
язва	язва.4	бойня, трагедия, вражда, драма, давка
язва	язва.5	несварение, расстройство, промывание, рак, язву
ярость	ярость.1	злость, злоба, ненависть, радость, страсть
